NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
19009,43,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0
28033,51,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0
77333,55,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
22301,63,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
19345,53,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1.0
20212,47,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
30600,31,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0
77321,34,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0
40010,63,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
28900,59,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
15556,64,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
22238,38,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11.0
33001,54,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2.0
13513,41,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,41.0
22004,29,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
20100,37,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,22.0
70444,40,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,47.0
13222,42,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,30.0
19321,53,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
35522,49,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6.0
28332,51,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,68.0
